Vehicle Name;Small/Sporty/ Compact/Large Sedan;Sports Car;SUV;Wagon;Minivan;Pickup;AWD;RWD;Retail Price;Dealer Cost;Cyl;HP;City MPG;Hwy MPG;Weight;Wheel Base;Len;Width
Acura 3.5 RL 4dr;1;0;0;0;0;0;0;0;43755;39014;6;225;18;24;3880;115;197;72
Acura 3.5 RL w/Navigation 4dr;1;0;0;0;0;0;0;0;46100;41100;6;225;18;24;3893;115;197;72
Acura MDX;0;0;1;0;0;0;1;0;36945;33337;6;265;17;23;4451;106;189;77
Acura NSX coupe 2dr manual S;0;1;0;0;0;0;0;1;89765;79978;6;290;17;24;3153;100;174;71
Acura RSX Type S 2dr;1;0;0;0;0;0;0;0;23820;21761;4;200;24;31;2778;101;172;68
Acura TL 4dr;1;0;0;0;0;0;0;0;33195;30299;6;270;20;28;3575;108;186;72
Acura TSX 4dr;1;0;0;0;0;0;0;0;26990;24647;4;200;22;29;3230;105;183;69
Audi A4 1.8T 4dr;1;0;0;0;0;0;0;0;25940;23508;4;170;22;31;3252;104;179;70
Audi A4 3.0 4dr;1;0;0;0;0;0;0;0;31840;28846;6;220;20;28;3462;104;179;70
Audi A4 3.0 convertible 2dr;1;0;0;0;0;0;0;0;42490;38325;6;220;20;27;3814;105;180;70
Audi A4 3.0 Quattro 4dr auto;1;0;0;0;0;0;1;0;34480;31388;6;220;18;25;3627;104;179;70
Audi A4 3.0 Quattro 4dr manual;1;0;0;0;0;0;1;0;33430;30366;6;220;17;26;3583;104;179;70
Audi A4 3.0 Quattro convertible 2dr;1;0;0;0;0;0;1;0;44240;40075;6;220;18;25;4013;105;180;70
Audi A41.8T convertible 2dr;1;0;0;0;0;0;0;0;35940;32506;4;170;23;30;3638;105;180;70
Audi A6 2.7 Turbo Quattro 4dr;1;0;0;0;0;0;1;0;42840;38840;6;250;18;25;3836;109;192;71
Audi A6 3.0 4dr;1;0;0;0;0;0;0;0;36640;33129;6;220;20;27;3561;109;192;71
Audi A6 3.0 Avant Quattro;0;0;0;1;0;0;1;0;40840;37060;6;220;18;25;4035;109;192;71
Audi A6 3.0 Quattro 4dr;1;0;0;0;0;0;1;0;39640;35992;6;220;18;25;3880;109;192;71
Audi A6 4.2 Quattro 4dr;1;0;0;0;0;0;1;0;49690;44936;8;300;17;24;4024;109;193;71
Audi A8 L Quattro 4dr;1;0;0;0;0;0;1;0;69190;64740;8;330;17;24;4399;121;204;75
Audi RS 6 4dr;0;1;0;0;0;0;0;0;84600;76417;8;450;15;22;4024;109;191;78
Audi S4 Avant Quattro;0;0;0;1;0;0;1;0;49090;44446;8;340;15;21;3936;104;179;70
Audi S4 Quattro 4dr;1;0;0;0;0;0;1;0;48040;43556;8;340;14;20;3825;104;179;70
Audi TT 1.8 convertible 2dr (coupe);0;1;0;0;0;0;0;0;35940;32512;4;180;20;28;3131;95;159;73
Audi TT 1.8 Quattro 2dr (convertible);0;1;0;0;0;0;1;0;37390;33891;4;225;20;28;2921;96;159;73
Audi TT 3.2 coupe 2dr (convertible);0;1;0;0;0;0;1;0;40590;36739;6;250;21;29;3351;96;159;73
BMW 325Ci 2dr;1;0;0;0;0;0;0;1;30795;28245;6;184;20;29;3197;107;177;69
BMW 325Ci convertible 2dr;1;0;0;0;0;0;0;1;37995;34800;6;184;19;27;3560;107;177;69
BMW 325i 4dr;1;0;0;0;0;0;0;1;28495;26155;6;184;20;29;3219;107;176;69
BMW 325xi 4dr;1;0;0;0;0;0;1;0;30245;27745;6;184;19;27;3461;107;176;69
BMW 325xi Sport;0;0;0;1;0;0;1;0;32845;30110;6;184;19;26;3594;107;176;69
BMW 330Ci 2dr;1;0;0;0;0;0;0;1;36995;33890;6;225;20;30;3285;107;176;69
BMW 330Ci convertible 2dr;1;0;0;0;0;0;0;1;44295;40530;6;225;19;28;3616;107;177;69
BMW 330i 4dr;1;0;0;0;0;0;0;1;35495;32525;6;225;20;30;3285;107;176;69
BMW 330xi 4dr;1;0;0;0;0;0;1;0;37245;34115;6;225;20;29;3483;107;176;69
BMW 525i 4dr;1;0;0;0;0;0;0;1;39995;36620;6;184;19;28;3428;114;191;73
BMW 530i 4dr;1;0;0;0;0;0;0;1;44995;41170;6;225;20;30;3472;114;191;73
BMW 545iA 4dr;1;0;0;0;0;0;0;1;54995;50270;8;325;18;26;3814;114;191;73
BMW 745i 4dr;1;0;0;0;0;0;0;1;69195;63190;8;325;18;26;4376;118;198;75
BMW 745Li 4dr;1;0;0;0;0;0;0;1;73195;66830;8;325;18;26;4464;123;204;75
